Date,Open,High,Low,Close,Adj Close,Volume
2022-01-17,4860.000000,5015.000000,4860.000000,4903.000000,4901.613770,99
2022-01-18,5000.000000,5000.000000,4750.000000,4819.000000,4817.637207,4493
2022-01-19,4850.000000,4944.500000,4750.000000,4917.500000,4916.109375,1041
2022-01-20,4940.000000,5218.000000,4749.500000,5147.500000,5146.044434,2575
2022-01-21,5100.000000,5100.000000,4786.500000,4819.500000,4818.137207,1785
2022-01-24,4748.500000,4748.500000,4506.500000,4631.500000,4630.190430,19159
2022-01-25,4560.000000,4700.000000,4525.000000,4700.000000,4698.670898,1839
2022-01-26,4715.000000,4898.000000,4715.000000,4850.000000,4848.628418,5500
2022-01-27,4900.000000,5028.000000,4880.000000,4892.500000,4891.116699,5727
2022-01-28,4892.500000,4940.000000,4510.000000,4518.500000,4517.222168,2497
2022-01-31,4614.000000,4650.000000,4504.000000,4521.000000,4519.721680,1735
2022-02-01,4485.000000,4700.000000,4455.000000,4590.000000,4588.702148,3123
2022-02-02,4638.500000,4736.500000,4507.000000,4615.000000,4613.694824,4153
2022-02-03,4625.000000,4694.000000,4360.000000,4414.500000,4413.251465,1664
2022-02-04,4415.000000,4633.000000,4415.000000,4588.000000,4586.702637,1551
2022-02-07,4482.500000,4750.000000,4400.000000,4610.000000,4608.696289,4058
2022-02-08,4596.000000,4710.000000,4400.000000,4594.500000,4593.200684,4008
2022-02-09,4614.000000,4698.000000,4590.000000,4693.000000,4691.673340,3971
2022-02-10,4693.000000,4783.000000,4693.000000,4761.000000,4759.653809,6938
2022-02-11,4729.000000,4800.000000,4550.500000,4568.000000,4566.708496,3132
2022-02-14,4500.000000,4564.000000,4452.500000,4527.500000,4526.219727,7617
2022-02-15,4666.000000,4666.000000,4501.000000,4595.500000,4594.200684,3509
2022-02-16,4407.000000,4533.000000,3955.000000,4144.000000,4142.828613,41145
2022-02-17,4130.000000,4150.000000,3895.000000,3903.500000,3902.396240,13550
2022-02-18,3899.500000,3969.500000,3780.000000,3866.000000,3864.906982,13075
2022-02-21,3945.000000,3945.000000,3690.000000,3873.500000,3872.404785,924
2022-02-22,3873.500000,3883.500000,3710.000000,3736.000000,3734.943604,4243
2022-02-23,3730.000000,3827.500000,3690.000000,3804.000000,3802.924561,3837
2022-02-24,3691.000000,3795.000000,3550.000000,3757.500000,3756.437500,2268
2022-02-25,3860.000000,3985.500000,3850.000000,3961.000000,3959.879883,3815
2022-03-02,3959.500000,4148.500000,3900.000000,4144.000000,4142.828613,5936
2022-03-03,4186.000000,4275.000000,4132.500000,4238.500000,4237.301270,15964
2022-03-04,4230.000000,4230.000000,4031.000000,4089.000000,4087.843994,3182
2022-03-07,4100.500000,4200.000000,3916.500000,3919.500000,3918.391846,5398
2022-03-08,3919.000000,3979.000000,3724.000000,3749.500000,3748.439697,3180
2022-03-09,3875.000000,3875.000000,3700.000000,3745.000000,3743.941162,9415
2022-03-10,3800.000000,3864.000000,3785.000000,3840.500000,3839.414063,10636
2022-03-11,3827.500000,3888.500000,3814.000000,3885.000000,3883.901611,9419
2022-03-14,3750.000000,3809.500000,3687.000000,3736.500000,3735.443604,6369
2022-03-15,3750.000000,3859.000000,3620.000000,3764.000000,3762.935791,1299
2022-03-16,3907.000000,4075.000000,3907.000000,4063.000000,4061.851318,11706
2022-03-17,4120.000000,4235.000000,4120.000000,4134.500000,4133.330566,15096
