Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,61.099998,62.700001,59.200001,62.400002,60.245819,952604
2021-09-24,63.000000,63.000000,61.000000,62.700001,60.535461,207617
2021-09-27,62.200001,62.500000,60.500000,62.200001,60.052719,325946
2021-09-28,62.200001,62.900002,60.799999,62.700001,60.535461,435789
2021-09-29,63.000000,63.900002,62.799999,63.599998,61.404388,394354
2021-09-30,64.300003,64.300003,62.599998,63.599998,61.404388,355222
2021-10-01,63.799999,64.000000,62.299999,63.200001,61.018200,599061
2021-10-04,63.000000,64.000000,60.700001,62.500000,60.342365,926914
2021-10-05,62.500000,63.400002,60.700001,62.900002,60.728558,531498
2021-10-06,62.900002,62.900002,61.200001,61.900002,59.763081,161472
2021-10-07,62.799999,62.799999,61.400002,61.799999,59.666531,232021
2021-10-12,63.000000,63.599998,62.000000,62.200001,60.052719,261006
2021-10-13,62.299999,62.900002,61.200001,62.500000,60.342365,295658
2021-10-14,63.400002,66.699997,63.099998,66.199997,63.914631,1408471
2021-10-15,67.500000,67.900002,66.000000,67.000000,64.687019,1507038
2021-10-18,67.000000,67.900002,66.300003,66.599998,64.300819,902000
2021-10-19,66.699997,67.800003,66.000000,67.500000,65.169754,777606
2021-10-20,67.900002,70.800003,67.099998,70.199997,67.776550,2462232
2021-10-21,69.699997,71.500000,68.000000,71.199997,68.742020,1308776
2021-10-22,71.800003,72.500000,69.500000,71.800003,69.321312,1132156
2021-10-25,72.099998,76.000000,71.699997,75.500000,72.893578,1810278
2021-10-26,77.000000,77.400002,76.300003,76.900002,74.245247,1354422
2021-10-27,76.900002,77.000000,74.199997,75.599998,72.990128,713671
2021-10-28,76.199997,78.099998,75.000000,78.000000,75.307274,631296
2021-10-29,79.900002,80.699997,76.099998,76.599998,73.955597,1037325
2021-11-01,76.500000,81.900002,76.500000,81.699997,78.879539,890373
2021-11-02,81.000000,84.500000,79.599998,84.199997,82.300583,1097719
2021-11-03,85.000000,88.900002,84.500000,88.699997,86.699074,1388898
2021-11-04,89.500000,91.699997,85.500000,91.500000,89.435913,1634221
2021-11-05,92.500000,97.300003,91.000000,96.699997,94.518600,3208988
2021-11-08,96.400002,101.250000,95.699997,100.750000,98.477242,2311873
2021-11-09,101.500000,102.000000,96.000000,97.199997,95.007324,1395361
2021-11-10,96.099998,98.900002,93.300003,98.800003,96.571236,2135450
2021-11-11,98.500000,102.750000,97.500000,101.750000,99.454689,1400099
2021-11-12,101.750000,103.500000,99.099998,103.000000,100.676483,1079183
2021-11-15,103.000000,105.000000,98.599998,103.250000,100.920845,863803
2021-11-16,104.750000,104.750000,97.500000,100.250000,97.988518,877651
2021-11-17,100.250000,100.750000,91.500000,95.300003,93.150185,941341
2021-11-18,92.199997,97.199997,90.000000,95.900002,93.736656,1040554
2021-11-19,96.900002,97.199997,90.400002,90.699997,88.653954,1135988
2021-11-23,90.400002,90.400002,86.000000,87.699997,85.721626,770892
2021-11-24,89.000000,90.599998,87.599998,90.500000,88.458466,628551
2021-11-25,90.599998,96.000000,90.599998,95.400002,93.247932,731997
2021-11-26,95.000000,95.000000,88.599998,90.599998,88.556206,408271
2021-11-29,92.000000,94.500000,88.500000,92.500000,90.413345,843162
2021-11-30,91.400002,92.400002,86.599998,90.099998,88.067490,1206905
2021-12-01,91.800003,93.400002,90.500000,93.300003,91.195305,913253
2021-12-02,94.000000,98.199997,94.000000,97.800003,95.593796,1047519
2021-12-03,98.000000,100.000000,93.099998,99.900002,97.646423,676391
2021-12-06,101.500000,103.750000,101.500000,103.000000,100.676483,426475
2021-12-07,105.000000,105.500000,101.000000,102.500000,100.187759,1056567
2021-12-09,103.500000,104.000000,99.500000,100.500000,98.232880,388166
2021-12-10,101.000000,103.750000,99.099998,101.500000,99.210327,254774
2021-12-13,103.000000,103.000000,99.000000,99.400002,97.157700,355547
2021-12-14,99.400002,101.000000,98.099998,99.900002,97.646423,327062
2021-12-15,101.000000,101.000000,92.000000,94.099998,91.977249,567437
2021-12-16,94.199997,96.300003,94.199997,95.400002,93.247932,414201
2021-12-17,96.300003,96.300003,93.199997,94.900002,92.759209,426652
2021-12-20,97.400002,97.400002,90.800003,92.199997,90.120117,887363
2021-12-21,93.199997,93.800003,90.900002,93.199997,91.097549,1010992
2021-12-22,93.699997,94.300003,90.099998,90.900002,88.849442,769268
2021-12-23,90.800003,93.599998,90.800003,93.099998,90.999817,386960
2021-12-27,97.000000,97.000000,91.900002,92.300003,90.217865,329037
2021-12-28,92.500000,93.000000,86.400002,87.599998,85.623878,1095809
2021-12-29,88.000000,92.000000,86.699997,91.699997,89.704353,907627
2021-12-30,91.699997,94.699997,89.400002,93.000000,90.976067,683612
2022-01-03,90.699997,94.900002,89.000000,93.900002,91.856483,507230
2022-01-04,93.900002,95.500000,92.000000,92.400002,90.389122,486412
